2017-09-25 16:17:42,915 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-facade:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/groups/public/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-facade:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus (http://192.168.1.62:8081/nexus/content/groups/public/): connect timed out
2017-09-25 16:17:42,916 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-facade:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/repositories/snapshots/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus-snapshots has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-facade:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus-snapshots (http://192.168.1.62:8081/nexus/content/repositories/snapshots/): connect timed out
2017-09-25 16:17:42,919 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-facade:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/groups/public/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-facade:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus (http://192.168.1.62:8081/nexus/content/groups/public/): connect timed out
2017-09-25 16:17:42,921 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Failure to transfer com.mall:mall-facade:0.0.1-SNAPSHOT/maven-metadata.xml from http://192.168.1.62:8081/nexus/content/repositories/snapshots/ was cached in the local repository, resolution will not be reattempted until the update interval of nexus-snapshots has elapsed or updates are forced. Original error: Could not transfer metadata com.mall:mall-facade:0.0.1-SNAPSHOT/maven-metadata.xml from/to nexus-snapshots (http://192.168.1.62:8081/nexus/content/repositories/snapshots/): connect timed out
2017-09-25 16:17:42,929 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-09-25 16:17:42,929 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-09-25 16:17:42,931 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-09-25 16:17:42,933 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-09-25 16:17:42,933 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\java-eclipse(boot5)\mall-service\src\test\resources
2017-09-25 16:17:57,334 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.mall:mall-facade:0.0.1-SNAPSHOT @ E:\java-eclipse(boot5)\mall-facade\pom.xml.
